
PROIECTE NAȚIONALE (anul școlar 2021-2022),Nr. beneficiari
Proiect național CUM SĂ CREŞTEM SĂNĂTOŞI -7 activități/proiect (Nivel preșcolar),22520
Proiect național ABC-UL EMOŢIILOR-6 activități/proiect (Nivel primar),20073
Proiect național NECENZURAT-12 activități/proiect (Nivel gimnazial),19656
Proiect național FRED GOES NET- minimum 8 ore/proiect (Nivel liceal),767
Proiect național MESAJUL MEU ANTIDROG (Nivel gimnazial și liceal ),6523
Proiect național EU ŞI COPILUL MEU-9 activități/proiect (adresat părinților),2776
Proiect național Abilități pentru acțiune,6014
Proiect național Acționăm just,3169

CAMPANII NAȚIONALE- 2022,Nr. beneficiari
Campania pentru marcarea Zilei Naționale Fără Tutun (17 noiembrie 2022),13998
Campania 19 ZILE DE PREVENIRE A ABUZURILOR ȘI VIOLENȚELOR ASUPRA COPIILOR ȘI TINERILOR (01-19 noiembrie 2022),10369

ACTIVITĂȚI DE PREVENIRE -2022,Nr. activități,Nr. beneficiari,,,,,
În mediul preşcolar,187,2112,,448,,,
"În mediul primar, gimnazial şi liceal",13830,,,22277,,,337893
În mediul universitar,219,,,502,9244,,
În familie,833,,13961,,,,
În comunitate,2929,,,,,354271,
