,Canabis,Stimulanți,Opiacee,NSP
Masculin,714,360,193,572
Feminin,156,101,57,116

,Canabis,Stimulanți,Opiacee,NSP
<25,494,220,76,312
25-34,301,166,88,261
>35,75,75,86,115

,Canabis,Stimulanți,Opiacee,NSP
Oral/fumat/prizat,870,451,128,369
Altele,0,7,27,281
Injectabil,0,3,95,38

,Canabis,Stimulanți,Opiacee,NSP
Consum singular,493,175,94,477
Consum combinat,377,286,156,211

,Canabis,Stimulanți,Opiacee,NSP
Intoxicație,449,240,64,320
Utilizare nocivă,83,57,11,41
Dependență,57,44,120,103
Sevraj,12,16,23,12
Tulburări de comportament,142,68,19,93
Supradoză,3,3,6,1
Alte diagnostice,0,0,0,0
Testare toxicologică,124,33,7,118
